phy_lbr,tot_emp,women,white,black,asian,hispanic
Miscellaneous_retail_stores,557,51.6,82.7,7.7,5.3,16.4
Electronic_shopping,445,47.1,63.2,18.8,14.3,13.1
Electronic_auctions,27,0,0,0,0,0
Mail0order_houses,59,49.7,69.3,15.5,7.2,13.3
Vending_machine_operators,45,0,0,0,0,0
Fuel_dealers,77,26.9,94.9,3.5,0.4,10.6
Other_direct_selling_establishments,166,63.7,84.8,11.2,1.3,20.8
Not_specified_retail_trade,428,54.7,71.2,17.0,9.0,20.0
Transportation_and_utilities,8551,24.4,71.7,19.2,5.5,18.3
Transportation_and_warehousing,7207,24.9,69.1,21.1,5.9,19.7
Air_transportation,635,42.9,71.6,17.7,6.7,15.0
Rail_transportation,224,7.2,84.5,11.4,2.5,9.7
Water_transportation,87,25.1,85.4,9.5,3.7,15.6
Truck_transportation,1985,12.5,78.1,15.6,3.3,19.8
Bus_service_and_urban_transit,576,36.4,55.9,35.6,4.9,19.9
Taxi_and_limousine_service,689,18.1,48.1,30.2,16.9,18.5
Pipeline_transportation,64,7.5,93.9,5.1,0.5,20.0
Scenic_and_sightseeing_transportation,38,0,0,0,0,0
Services_incidental_to_transportation,850,25.8,71.9,18.0,6.0,22.0
Postal_Service,619,44.6,60.2,28.6,6.4,11.9
Couriers_and_messengers,807,23.1,68.3,22.1,5.3,19.7
Warehousing_and_storage,634,31.5,68.7,21.8,4.5,34.3
Utilities,1345,21.4,85.5,9.0,3.0,11.0
Electric_power_generation_transmission_and_distribution,718,22.3,85.7,8.8,3.3,9.9
Natural_gas_distribution,133,18.7,85.6,11.0,2.7,9.1
Electric_and_gas_and_other_combinations,129,22.8,86.1,6.5,4.9,13.5
Water_steam_air0conditioning_and_irrigation_systems,245,20.8,82.7,10.8,1.9,14.5
Sewage_treatment_facilities,96,17.5,88.6,6.8,1.6,7.2
Not_specified_utilities,24,0,0,0,0,0
Information,2919,38.3,78.3,11.6,7.3,12.2
Newspaper_publishers,178,46.4,85.6,6.9,4.2,8.4
Periodical_book_and_directory_publishers,198,58.3,85.5,6.8,6.4,6.3
Software_publishers,86,33.5,74.0,2.2,21.8,5.0
Motion_pictures_and_video_industries,494,32.3,81.7,10.3,3.6,15.7
Sound_recording_industries,44,0,0,0,0,0
Radio_and_television_broadcasting_and_cable_subscription_programming,550,32.7,78.4,15.2,4.4,13.7
Internet_publishing_and_broadcasting_and_web_search_portals,153,40.0,66.6,4.9,26.5,12.3
Wired_telecommunications_carriers,434,30.6,69.9,19.3,8.0,12.8
Other_telecommunications_services,439,26.9,76.3,11.9,9.1,12.3
Data_processing_hosting_and_related_services,101,45.8,80.3,6.9,8.6,12.2
Libraries_and_archives,214,78.1,87.3,7.5,2.5,11.3
Other_information_services,29,0,0,0,0,0
Financial_activities,10649,52.6,79.7,10.2,7.5,12.6
Finance_and_insurance,7376,55.0,78.7,10.2,8.4,11.4
Banking_and_related_activities,1992,58.2,74.5,11.2,11.4,12.1
Savings_institutions_including_credit_unions,257,67.3,82.5,8.9,3.8,14.9
Nondepository_credit_and_related_activities,1004,52.4,76.4,11.0,9.0,14.4
Securities_commodities_funds_trusts_and_other_financial_investments,1325,39.9,82.9,5.4,9.4,8.4
Insurance_carriers_and_related_activities,2797,59.7,80.2,11.6,6.1,11.0
Real_estate_and_rental_and_leasing,3273,47.0,82.0,10.2,5.2,15.4
Real_estate,2869,49.5,83.2,9.0,5.4,15.1
Rental_and_leasing_services,405,29.5,73.3,19.2,4.1,17.2
Automotive_equipment_rental_and_leasing,185,32.5,65.8,25.8,6.1,13.7
Video_tape_and_disk_rental,8,0,0,0,0,0
Other_consumer_goods_rental,106,31.7,72.4,18.4,2.8,23.7
Commercial_industrial_and_other_intangible_assets_rental_and_leasing,106,21.9,86.0,9.4,2.3,17.9
Professional_and_business_services,18950,41.5,78.1,9.9,9.0,15.9
Professional_and_technical_services,12105,42.2,79.0,6.6,12.1,8.7
Legal_services,1673,56.2,87.5,6.4,4.0,10.9
Accounting_tax_preparation_bookkeeping_and_payroll_services,1131,60.0,81.0,7.9,8.6,8.7
Architectural_engineering_and_related_services,1767,25.5,84.8,5.9,6.9,9.0
Specialized_design_services,405,57.7,84.9,3.4,7.7,13.1
Computer_systems_design_and_related_services,3339,27.2,67.1,7.0,23.6,6.6
Management_scientific_and_technical_consulting_services,1686,43.2,79.8,7.6,10.7,7.9
Scientific_research_and_development_services,616,45.6,75.6,8.3,13.8,8.3
Advertising_public_relations_and_related_services,629,47.5,85.0,5.0,8.5,10.0
Veterinary_services,404,84.3,92.3,2.5,2.3,9.0
Other_professional_scientific_and_technical_services,456,55.6,83.2,6.8,7.1,11.6
Management_administrative_and_waste_services,6845,40.3,76.7,15.7,3.4,28.8
Management_of_companies_and_enterprises,212,43.5,83.8,8.1,5.6,12.6
Employment_services,954,55.3,70.3,21.2,4.9,19.4
Business_support_services,705,64.6,70.4,20.8,3.8,18.8
Travel_arrangements_and_reservation_services,290,61.4,77.1,11.5,9.1,15.4
Investigation_and_security_services,839,24.5,65.5,27.0,3.3,15.3
Services_to_buildings_and_dwellings,1604,55.8,77.5,14.7,2.6,40.8
Landscaping_services,1418,10.6,87.9,6.8,1.1,44.2
Other_administrative_and_other_support_services,345,51.6,78.7,9.8,6.5,18.8
Waste_management_and_remediation_services,480,16.1,77.4,17.5,2.1,23.0
Education_and_health_services,35043,74.4,75.5,15.1,6.4,12.9
Educational_services,13910,68.3,80.4,11.5,5.2,11.9
Elementary_and_secondary_schools,9147,74.8,82.2,11.8,3.2,13.2
Colleges_universities_and_professional_schools_including_junior_colleges,3819,53.6,76.5,11.1,9.6,9.2
Business_technical_and_trade_schools_and_training,99,51.4,76.7,10.2,9.4,9.8
Other_schools_and_instruction_and_educational_support_services,844,66.1,79.0,10.3,7.5,9.3
Health_care_and_social_assistance,21133,78.4,72.3,17.5,7.1,13.6
Hospitals,7108,75.0,73.1,15.4,8.9,10.9
Health_services_except_hospitals,10636,78.7,71.9,18.4,6.6,13.8
Offices_of_physicians,1595,77.3,78.9,10.9,7.1,14.1
Offices_of_dentists,873,84.0,83.9,5.8,6.9,18.7
Offices_of_chiropractors,145,58.6,89.5,5.3,3.1,8.7
Offices_of_optometrists,159,75.2,80.8,5.5,7.4,10.9
Offices_of_other_health_practitioners,355,79.0,84.3,7.4,6.7,8.2
Outpatient_care_centers,1904,76.7,76.2,14.6,6.2,14.0
Home_health_care_services,1472,87.9,63.0,26.1,7.2,18.5
Other_health_care_services,1550,70.2,68.0,20.0,9.1,12.0
Nursing_care_facilities_(skilled_nursing_facilities),1652,84.2,63.5,28.3,5.6,11.0
Residential_care_facilities_except_skilled_nursing_facilities,930,74.3,66.6,26.3,3.9,12.2
Social_assistance,3389,84.2,71.8,19.5,4.8,18.6
Individual_and_family_services,1608,77.9,69.6,20.8,5.4,16.5
Community_food_and_housing_and_emergency_services,125,66.5,76.0,16.5,2.4,15.2
Vocational_rehabilitation_services,94,54.5,71.4,24.3,0.3,15.6
Child_day_care_services,1562,93.8,73.8,18.1,4.7,21.2
Leisure_and_hospitality,14268,51.5,74.3,13.4,6.8,23.1
Arts_entertainment_and_recreation,3362,44.7,77.3,11.4,5.1,14.0
Independent_artists_performing_arts_spectator_sports_and_related_industries,915,40.6,80.7,11.3,4.8,11.4
Museums_art_galleries_historical_sites_and_similar_institutions,338,49.5,82.4,10.8,3.3,13.8
Bowling_centers,38,0,0,0,0,0
Other_amusement_gambling_and_recreation_industries,2072,45.6,74.9,11.7,5.6,15.2
Accommodation_and_food_services,10905,53.6,73.3,14.0,7.4,25.9
Accommodation,1467,58.2,70.4,16.6,8.0,27.9
Traveler_accommodation,1350,59.6,68.7,17.6,8.4,29.5
Recreational_vehicle_parks_and_camps_and_rooming_and_boarding_houses,117,41.3,90.9,5.0,2.8,9.6
Food_services_and_drinking_places,9438,52.9,73.8,13.6,7.3,25.6
Restaurants_and_other_food_services,9190,52.9,73.6,13.7,7.4,26.0
Drinking_places_alcoholic_beverages,248,52.6,82.9,9.9,1.7,10.2
Other_services,7742,53.6,77.5,10.8,8.4,20.3
Other_services_except_private_households,6965,49.1,76.9,11.0,9.0,17.7
Repair_and_maintenance,2189,12.5,84.7,8.1,3.3,27.2
Automotive_repair_and_maintenance,1342,9.7,85.2,8.1,2.8,28.1
Car_washes,194,15.7,73.3,16.9,5.7,35.5
Electronic_and_precision_equipment_repair_and_maintenance,107,21.6,77.4,8.2,9.0,20.7
Commercial_and_industrial_machinery_and_equipment_repair_and_maintenance,328,8.0,88.5,5.9,1.1,26.8
Personal_and_household_goods_repair_and_maintenance,210,30.2,89.8,2.9,5.5,18.9
Footwear_and_leather_goods_repair,7,0,0,0,0,0
Personal_and_laundry_services,2676,74.1,67.5,12.6,16.8,17.0
Barber_shops,123,23.8,61.4,30.8,5.9,28.1
Beauty_salons,1092,90.5,73.5,13.4,10.2,16.6
Nail_salons_and_other_personal_care_services,585,78.0,42.6,7.2,47.2,8.4
Drycleaning_and_laundry_services,301,50.5,70.7,12.4,11.4,37.6
Funeral_homes_and_cemeteries_and_crematories,122,38.8,84.5,13.5,0.8,12.8
Other_personal_services,454,68.1,80.2,12.4,4.5,13.6
Membership_associations_and_organizations,2101,55.6,80.6,12.0,4.9,8.8
Religious_organizations,1043,47.7,83.7,10.1,4.3,6.8
Civic_social_advocacy_organizations_and_grantmaking_and_giving_services,815,67.1,74.7,15.8,6.1,10.5
Labor_unions,71,40.8,85.0,7.4,6.1,18.2
Business_professional_political_and_similar_organizations,171,54.5,88.0,7.5,2.5,9.0
Private_households,777,93.2,83.2,9.4,3.0,43.6
Public_administration,7419,45.8,74.9,16.9,4.4,11.7
Executive_offices_and_legislative_bodies,1275,53.3,71.3,17.7,5.7,11.9
Public_finance_activities,340,65.4,72.7,17.4,6.7,9.6
Other_general_government_and_support,125,37.8,78.0,13.3,4.8,8.5
Justice_public_order_and_safety_activities,2827,34.0,79.2,15.9,2.2,11.7
Administration_of_human_resource_programs,1097,73.9,67.5,22.1,6.4,14.6
Administration_of_environmental_quality_and_housing_programs,266,44.4,81.6,10.3,3.1,5.7
Administration_of_economic_programs_and_space_research,557,42.9,75.9,16.3,4.5,8.7
National_security_and_international_affairs,933,33.9,73.3,15.1,6.6,12.8
